Kuerzel,states_with_data,all_states_present,full_coverage_all_states,min_state_coverage,mean_state_coverage,max_state_coverage,states_below_95,states_below_100,municipalities_with_value_total,municipalities_total,official_short,official_name,main_dimension,sub_dimension,period_gemeinden,period_kreise,broad_dimension
q_abhg_alt,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Abhängigenquote Alte,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
q_abhg_jung,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Abhängigenquote Junge,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
e10_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Bevölkerungsentwicklung (10 Jahre),Entwicklung der Zahl der Einwohner über die letzten 10 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,,2005-2023,Demography and household structure
e5_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Bevölkerungsentwicklung (5 Jahre),Entwicklung der Zahl der Einwohner über die letzten 5 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,,2000-2023,Demography and household structure
q_HH1,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Einpersonenhaushalte,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2013-2023,2013-2023,Demography and household structure
a_bevf,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Frauenanteil,Anteil der Frauen an den Einwohnern in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
a_bevf_2040,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Frauenanteil 20 bis unter 40 Jahre,Anteil der Frauen an den Einwohnern von 20 bis unter 40 Jahren in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
a_hh_kind,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Haushalte mit Kindern,Anteil der Haushalte mit Kindern an allen Haushalten in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2013-2023,2013-2023,Demography and household structure
q_HH,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Haushaltsgröße,Personen je Haushalt,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2013-2023,2013-2023,Demography and household structure
i_wans,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Gesamtwanderungssaldo,Gesamtwanderungssaldo je 1.000 Einwohner,Bevölkerung,Bevölkerung – Wanderungen,1995-2023,1995-2023,Demography and household structure
a_stud_a,16,TRUE,FALSE,0.00723327305605787,0.21736348682519,1,13,13,296,10978,Ausländische Studierende,Anteil der Ausländer an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,,1998-2023,Education
a_stud_m,16,TRUE,FALSE,0.00723327305605787,0.21736348682519,1,13,13,296,10978,Männliche Studierende,Anteil der Männer an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,,1995-2023,Education
q_stud,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Studierende,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,,1995-2023,Education
q_stud_fh,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Studierende an FH,Studierende an Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,,2006-2023,Education
a_stud_1,16,TRUE,FALSE,0.00723327305605787,0.21736348682519,1,13,13,296,10978,Studierende im 1. Semester,Studierende im 1. Semester an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,,1995-2023,Education
q_stud_1825,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Studierende je 100 Einwohner 18 bis 25 Jahre,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,Bildung,Bildung – Ausbildungsangebot,,1995-2023,Education
a_stud_w,16,TRUE,FALSE,0.00723327305605787,0.21736348682519,1,13,13,296,10978,Weibliche Studierende,Anteil der Frauen an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,,1995-2023,Education
a_bb_1000Mbits,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,Erreichbarkeit,(no sub-dimension),2020-2023,2020-2023,"Health, services and accessibility"
a_bb_100Mbits,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Erreichbarkeit,(no sub-dimension),2017-2023,2017-2023,"Health, services and accessibility"
a_bb_50Mbits,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension),2017-2023,2017-2023,"Health, services and accessibility"
m_Q07_HA_DIST,16,TRUE,FALSE,0.95197486535009,0.996075709486956,1,0,4,10856,10978,Entfernung zum Hausarzt,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
m_G02_SUP_DIST,16,TRUE,FALSE,0.952423698384201,0.996216781443089,1,0,4,10859,10978,Entfernung zum Supermarkt/Discounter,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
m_Q01_APO_DIST,16,TRUE,FALSE,0.95197486535009,0.996102641224187,1,0,5,10857,10978,Entfernung zur Apotheke,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
m_P01_PRIM_DIST,16,TRUE,FALSE,0.95197486535009,0.996245239324208,1,0,4,10859,10978,Entfernung zur Grundschule,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
m_OEV20_DIST,16,TRUE,FALSE,0.95197486535009,0.995495921370954,1,0,5,10847,10978,Entfernung zur ÖV Haltestelle,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),2022,2022,"Health, services and accessibility"
m_ErrBAB_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Erreichbarkeit von Autobahnen,Durchschn. Pkw-Fahrzeit zur nächsten BAB-Anschlussstelle in Minuten,Erreichbarkeit,(no sub-dimension),2024,2024,"Health, services and accessibility"
m_ErrAir_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Erreichbarkeit von Flughäfen,Durchschn. Pkw-Fahrzeit zum nächsten internationalen Flughafen in Deutschland in Minuten,Erreichbarkeit,(no sub-dimension),2024,2024,"Health, services and accessibility"
m_ErrIC_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Erreichbarkeit von IC/EC/ICE-Bahnhöfen,Durchschn. Pkw-Fahrzeit zum nächsten IC/ICE-Bahnhof in Minuten,Erreichbarkeit,(no sub-dimension),2024,2024,"Health, services and accessibility"
i_fz_mz,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Erreichbarkeit von Mittelzentren,Durchschn. Pkw-Fahrzeit zum nächsten Mittel- oder Oberzentrum in Minuten,Erreichbarkeit,(no sub-dimension),2021,2021,"Health, services and accessibility"
i_fz_oz,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Erreichbarkeit von Oberzentren,Durchschn. Pkw-Fahrzeit zum nächsten Oberzentrum in Minuten,Erreichbarkeit,(no sub-dimension),2021,2021,"Health, services and accessibility"
a_Q01_APO_ANT,16,TRUE,FALSE,0.95197486535009,0.996102641224187,1,0,5,10857,10978,Nahversorgung Apotheke,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
a_P01_PRIM_ANT,16,TRUE,FALSE,0.95197486535009,0.996245239324208,1,0,4,10859,10978,Nahversorgung Grundschule,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
a_Q07_HA_ANT,16,TRUE,FALSE,0.95197486535009,0.996075709486956,1,0,4,10856,10978,Nahversorgung Hausarzt,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
a_G02_SUP_ANT,16,TRUE,FALSE,0.952423698384201,0.996216781443089,1,0,4,10859,10978,Nahversorgung Supermarkt/Discounter,Anteil Einwohner mit max. 1000m Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),2023,2023,"Health, services and accessibility"
a_OEV20_ANT,16,TRUE,FALSE,0.95197486535009,0.995495921370954,1,0,5,10847,10978,Nahversorgung ÖV Haltestelle,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),2022,2022,"Health, services and accessibility"
a_bb_4G,16,TRUE,FALSE,0.995192307692308,0.999361284249143,1,0,4,10964,10978,Bandbreitenverfugbarkeit mindestens 4G,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit,,,"Health, services and accessibility"
a_ausp_svw,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Auspendler,Anteil der Auspendler an den SV Beschäftigten am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,1997-2023,1997-2023,"Health, services and accessibility"
a_einp_sva,16,TRUE,FALSE,0.922800718132855,0.992879943352744,1,1,6,10774,10978,Einpendler,Anteil der Einpendler an den SV Beschäftigten am Arbeitsort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,1997-2023,1997-2023,"Health, services and accessibility"
a_pend150,16,TRUE,FALSE,0.922800718132855,0.992842117732426,1,1,6,10774,10978,Pendler mit Arbeitsweg 150 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 150 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,2013-2023,2013-2023,"Health, services and accessibility"
a_pend300,16,TRUE,FALSE,0.922800718132855,0.992842117732426,1,1,6,10774,10978,Pendler mit Arbeitsweg 300 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 300 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,2013-2023,2013-2023,"Health, services and accessibility"
a_pend50,16,TRUE,FALSE,0.922800718132855,0.992842117732426,1,1,6,10774,10978,Pendler mit Arbeitsweg 50 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 50 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,2013-2023,2013-2023,"Health, services and accessibility"
q_pendlersaldo,16,TRUE,FALSE,0.922800718132855,0.992879943352744,1,1,6,10774,10978,Pendlersaldo,Pendlersaldo je 100 SV Beschäftigte am Arbeitsort,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,1997-2023,1997-2023,"Health, services and accessibility"
q_vunpt_bev,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Getötete im Straßenverkehr,Getötete im Straßenverkehr je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,2008-2023,1995-2023,"Health, services and accessibility"
q_unf_bev,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Straßenverkehrsunfälle,Straßenverkehrsunfälle insgesamt je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,2008-2023,1995-2023,"Health, services and accessibility"
q_vunp_bev,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Verunglückte im Straßenverkehr,Verunglückte im Straßenverkehr je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,2008-2023,1995-2023,"Health, services and accessibility"
a_erh,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Erholungsfläche,Anteil Erholungsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
q_erhfl_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Erholungsfläche je Einwohner,Erholungsfläche je Einwohner in m²,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
v_suvfl_vorjahr,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Flächenneuinanspruchnahme,Änderung der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Vergleich zum Vorjahr,Flächennutzung,(no sub-dimension),2017-2023,2017-2023,Housing and land-use context
a_freifläche,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Freifläche,Anteil Freifläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
q_freifläche_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Freifläche je Einwohner,Freifläche je Einwohner in m²,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
a_landwirtschaft,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Landwirtschaftsfläche,Anteil Landwirtschaftsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
a_naturnah,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Naturnähere Fläche,Anteil naturnähere Fläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
q_naturnah_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Naturnähere Fläche je Einwohner,Naturnähere Fläche je Einwohner in m²,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
a_suv_fl,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Siedlungs- und Verkehrsfläche,Anteil der Siedlungs- und Verkehrsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
q_ew_suv_qkm,16,TRUE,FALSE,0.997647058823529,0.999723273126678,1,0,2,10975,10978,Siedlungsdichte in km²,Einwohner je km² Siedlungs- und Verkehrsfläche,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
a_wald,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Waldfläche,Anteil Waldfläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
a_wasser,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Wasserfläche,Anteil Wasserfläche an der Fläche in %,Flächennutzung,(no sub-dimension),2016-2023,2016-2023,Housing and land-use context
q_allgemeinärzte_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Allgemeinärzte,Allgemeinärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),,2015-2022,"Health, services and accessibility"
q_hausarzt_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Hausärzte,Hausärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),,2015-2022,"Health, services and accessibility"
q_internist_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Internisten,Internisten je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),,2015-2022,"Health, services and accessibility"
q_kinderarzt_kinder,16,TRUE,FALSE,0.922800718132855,0.992812769890109,1,1,5,10774,10978,Kinderärzte,Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Medizinische Versorgung,(no sub-dimension),,2015-2022,"Health, services and accessibility"
q_ärzte_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Ärzte,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),,2015-2022,"Health, services and accessibility"
q_einzelhandelskaufkraft,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Einzelhandelsrelevante Kaufkraft,Einzelhandelsrelevante Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),2015-2023,2015-2023,"Income, deprivation and social transfers"
a_hheink_hoch,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Haushalte mit hohem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen von über 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),2013-2023,2013-2023,"Income, deprivation and social transfers"
a_hheink_mittel,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Haushalte mit mittlerem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen zwischen 1.500€ und 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),2013-2023,2013-2023,"Income, deprivation and social transfers"
a_hheink_niedrig,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Haushalte mit niedrigem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen von unter 1.500€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),2013-2023,2013-2023,"Income, deprivation and social transfers"
q_kaufkraft,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Kaufkraft,Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),2013-2023,2013-2023,"Income, deprivation and social transfers"
a_bevMZ,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Bevölkerung in Mittelzentren,"Bevölkerungsanteil, der in Mittelzentren und möglichen Mittelzentren lebt",Siedlungsstruktur,(no sub-dimension),2019-2023,2019-2023,Demography and household structure
a_bevOZ,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Bevölkerung in Oberzentren,"Bevölkerungsanteil, der in Oberzentren und möglichen Oberzentren lebt",Siedlungsstruktur,(no sub-dimension),2019-2023,2019-2023,Demography and household structure
q_bevsva_qkm,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Einwohner-Arbeitsplatz-Dichte,Einwohner und Beschäftigte je km²,Siedlungsstruktur,(no sub-dimension),1996-2023,1996-2023,Demography and household structure
q_bev_fl,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Einwohnerdichte,Einwohner je km²,Siedlungsstruktur,(no sub-dimension),1996-2023,1996-2023,Demography and household structure
a_bevd150_,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Ländlichkeit,Anteil der Einwohner in Gemeinden mit einer Bevölkerungsdichte von unter 150 E/km²,Siedlungsstruktur,(no sub-dimension),2019-2023,2019-2023,Demography and household structure
a_ALGII_SGBII,16,TRUE,FALSE,0.922351885098743,0.986105258969315,1,1,8,10623,10978,ALG II-Leistungen an SGBII,Anteil Arbeitslosengeld II an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,,2008-2023,"Income, deprivation and social transfers"
a_Unterkunft_SGBII,16,TRUE,FALSE,0.922351885098743,0.986105258969315,1,1,8,10623,10978,Leistungen für Unterkunft an SGBII,Anteil Leistungen für Unterkunft an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,,2008-2023,"Income, deprivation and social transfers"
a_ewfBG_allein,16,TRUE,FALSE,0.922351885098743,0.984904622083785,1,1,8,10596,10978,Alleinerziehende erwerbsfähige Leistungsberechtigte,Anteil der alleinerziehenden erwerbsfähigen SGBII-Leistungsberechtigten an den erwerbsfähigen  SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_BGKind,16,TRUE,FALSE,0.922351885098743,0.984315135468507,1,2,8,10584,10978,Bedarfsgemeinschaften mit Kindern,Anteil der Bedarfsgemeinschaften mit Kindern an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_BG1P,16,TRUE,FALSE,0.922351885098743,0.984315135468507,1,2,8,10584,10978,Einpersonen-Bedarfsgemeinschaften,Anteil der Bedarfsgemeinschaften mit 1 Person an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_ewfBG,16,TRUE,FALSE,0.922351885098743,0.98544390117175,1,1,8,10611,10978,Erwerbsfähige Leistungsberechtigte,Anteil der erwerbsfähigen SGBII- Leistungsberechtigten an den Personen an den Bedarfsgemeinschaften in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_ewfBG_f,16,TRUE,FALSE,0.922351885098743,0.984904622083785,1,1,8,10596,10978,Erwerbsfähige Leistungsberechtigte (Frauen),Anteil der weiblichen erwerbsfähigen SGBII-Leistungsberechtigten an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_BG5um,16,TRUE,FALSE,0.922351885098743,0.984315135468507,1,2,8,10584,10978,Große Bedarfsgemeinschaften,Anteil der Bedarfsgemeinschaften mit 5 und mehr Personen an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_ewfBG_u25_,16,TRUE,FALSE,0.922351885098743,0.984904622083785,1,1,8,10596,10978,Junge erwerbsfähige Leistungsberechtigte,Anteil der erwerbsfähigen Leistungsberechtigten unter 25 Jahren an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
q_newfBGu15_bev,16,TRUE,FALSE,0.922800718132855,0.992674773634059,1,1,6,10770,10978,Kinderarmut,Nicht erwerbsfähige SGBII-Leistungsberechtigte unter 15 Jahren je 100 Einwohner unter 15 Jahren,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2016-2023,"Income, deprivation and social transfers"
q_PBG_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Personen in Bedarfsgemeinschaften,Personen in Bedarfsgemeinschaften je 1.000 Einwohner,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
a_ewfBG_55um_,16,TRUE,FALSE,0.922351885098743,0.984904622083785,1,1,8,10596,10978,Ältere erwerbsfähige Leistungsberechtigte,Anteil der erwerbsfähigen Leistungsberechtigten über 55 Jahren an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,,2007-2023,"Income, deprivation and social transfers"
q_übern_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Gästeübernachtungen in Beherbergungsbetrieben,Gästeübernachtungen in Beherbergungsbetrieben je Einwohner,Wirtschaft,Wirtschaft – Fremdenverkehr,2008-2023,1992-2023,Economic structure and tourism
q_schlafg_bev,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Schlafgelegenheiten in Beherbergungsbetrieben,Schlafgelegenheiten in Beherbergungsbetrieben je 1.000 Einwohner,Wirtschaft,Wirtschaft – Fremdenverkehr,,2008-2023,Economic structure and tourism
m_übern,16,TRUE,FALSE,0.172533681008257,0.585752460098992,1,13,13,4421,10978,Verweildauer in Beherbergungsbetrieben,Durchschnittliche Zahl der Übernachtungen in Beherbergungsbetrieben,Wirtschaft,Wirtschaft – Fremdenverkehr,2008-2023,1992-2023,Economic structure and tourism
q_einkst_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einkommensteuer,Einkommensteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),1995-2021,1991-2023,"Income, deprivation and social transfers"
q_gewst_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Gewerbesteuer,Gewerbesteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),1995-2021,1991-2023,"Income, deprivation and social transfers"
d_steuereinnahme,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Steuereinnahmen,Steuereinnahmen der Gemeinden und Gemeindeverbände in Euro je Einwohner,Öffentliche Finanzen,(no sub-dimension),1995-2021,1991-2023,"Income, deprivation and social transfers"
q_gest_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Steuerkraft,Gemeindliche Steuerkraft in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),1995-2021,1991-2023,"Income, deprivation and social transfers"
q_umsst,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Umsatzsteuer,Umsatzsteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),1995-2021,1998-2023,"Income, deprivation and social transfers"
